Timestamp,Logo,Website Address,,Source Name,Datasets_Available,Short Site Description,Category(s)- all that apply,Keywords (optional),Link to Data Use Agreement,Link to Dataset Source Page,Type of Datasets,Geography,Time,Price,Formats,General Category,Sub Category,Logo Link,Other - add any notes,Form Filler
6/8/2024 20:38:32,https://drive.google.com/open?id=1FXU9v_RPTED7e6378_Cu9UsWf8EMlvIf,https://www.cortera.com/,,Cortera (aka Moody's),20,"Cortera provides comprehensive business credit reports and financial insights, helping businesses make informed credit decisions and manage financial risk. Their platform offers data on business performance, payment behavior, and industry trends.","Financial, Technology, Business Services","Business Credit Reports, Financial Insights, Credit Risk Management, Payment Behavior, Business Performance, Industry Trends, Data Analytics, Credit Decisions, Financial Risk, Business Intelligence",comes w/ demo (https://pulse.moodysanalytics.com/schedule-demo/),https://pulse.moodysanalytics.com/features/,"Subscription Service, Custom Built","Global, North America",Both - most common,Subscription,"API, CSV, JSON, Excel",Financial,Business Credit and Financial Insights,,,Karina
6/8/2024 20:46:18,https://drive.google.com/open?id=1XHuWsiMYWZX6IUnQc11-QYGPuwCVoB-V,http://www.jiguang.cn/,,Aurora Mobile (Jiguang),20,"Jiguang offers comprehensive mobile and internet data solutions, leveraging ClickHouse for efficient data querying and analysis.","Public Data, Technology, Data Analytics","Mobile Data, Internet Data, Data Analytics, Real-time Data, Offline Data, Business Intelligence, ClickHouse, SQL Queries, Data Solutions, Data Infrastructure",,https://www.moonfox.cn/en,"Fixed (typical), Subscription Service","Global, Asia",Both - most common,Subscription,"API, CSV, JSON, SQL, Parquet",Technology,Mobile and Internet Data Solutions,,,Karina
6/8/2024 21:22:03,https://drive.google.com/open?id=1amVMvBTCEgwbMWR5lafI_L_Zf8hoU3il,https://edgedelta.com/,,Edge Data,50,Edge Delta processes your data as it's created and gives you the freedom to route it anywhere. Our distributed architecture enables you to store and search any volume of data without sacrificing costs or performance,"Technology, Data Analytics, Edge Computing","Data analytics, Real-time processing, Edge computing, Machine learning, Data visualization, Streaming data, Big data, Predictive analytics, Data integration, Cloud computing",,https://edgedelta.com/product,"Subscription Service, Unknown",Global,Both - most common,"Fixed Price, Subscription","CSV, JSON, XML",Technology,Data Analytics Solutions,,,Karina
6/8/2024 21:28:24,https://drive.google.com/open?id=1XFFCxs9ZZ6mqkUx6tOV3wNfiXIOC26To,https://messagegears.com/,,Message Gears,20,"We help customer-obsessed enterprises launch sophisticated campaigns that are frankly a huge headache to execute with other vendors. Crafting 1-to-1 conversations across a database of millions can be hard – but your tech doesn’t have to be. MessageGears is a cross-channel engagement platform that delivers advanced customer segmentation, hyper-dynamic personalization, and message delivery at scale.","Financial, Retail and CPG, Technology, Transportation, Marketing","Email marketing, Marketing automation, Customer engagement, Personalization, Data-driven marketing, Email campaigns, Customer segmentation, Marketing analytics, Email delivery, Marketing platform",,https://messagegears.com/,"Subscription Service, Unknown",Global,Both - most common,Subscription,"CSV, JSON, XML",Service Provider,Marketing Data Solutions,,,Karina
6/8/2024 21:35:19,https://drive.google.com/open?id=1y5M6DVSeh_YEQYxdk-iiap4TORmOjw-J,https://rhetorik.com/,,Rhetorik,100,"Rhetorik’s extensive B2B datasets solve the challenges of collecting, validating, standardizing, and activating high quality global people and company data, across multiple channels, in one single source.","Technology, B2B Data, Data Management","B2B data, Business contacts, Lead generation, Marketing intelligence, Sales prospects, Data enrichment, Account-based marketing, Contact database, Market segmentation, Data analytics",,https://rhetorik.com/products/datacliniq/,Subscription Service,Global,Both - most common,Subscription,"CSV, XLSX",Service Provider,B2B Data Solutions,,,Karina
6/8/2024 21:38:37,https://drive.google.com/open?id=1n6TfTBvZlf0TL9SmT_TvLhu6n0WmwwPw,https://www.sustainableplatform.com/,,Sustainable Platform,50,"Founded in 2017 and based in Perth, Australia, Sustainable Platform is a SaaS database providing access to crucial and transparent sustainability & SDG performance data for 29,000+ global companies. These metrics help leading institutional investors and advisors identify, understand, and manage sustainability risks and opportunities and make more informed strategic and capital allocation decisions.","Energy, Environmental, Technology, Weather, Sustainability","Sustainability, Environmental data, Eco-friendly, Carbon footprint, Green initiatives, Sustainable development, Environmental impact, Climate change, Renewable energy, Conservation",,https://www.sustainableplatform.com/,Subscription Service,Global,Both - most common,Subscription,"CSV, JSON",Service Provider,Environmental Data Solutions,,,Karina
6/8/2024 21:41:42,https://drive.google.com/open?id=1KVBIM8mUsWY1kgb90xD7FwSkkSyAiNGM,https://www.fan.ai/,,FanAI,20,"FanAI specializes in providing sports data solutions, offering insights into fan behavior and preferences. Their datasets enable organizations to understand and engage with their audience effectively, driving marketing and sponsorship strategies in the sports industry.","Advertising, Consumer, Media and Entertainment, Social Media, Technology, Marketing","Sports data, Fan engagement, Audience insights, Sponsorship analytics, Marketing strategies, Sports marketing, Fan behavior, Fan preferences, Sports sponsorship, Data-driven decisions",,https://www.fan.ai/,Subscription Service,"Global, North America",Both - most common,Subscription,"CSV, JSON",Service Provider,Sports Data,,,Karina
6/8/2024 21:45:08,https://drive.google.com/open?id=1DSxIQn2S051Am6Jiuc0e78W66vTrN-C3,https://www.royaltystat.com/,,RoyaltyStat,100,"RoyaltyStat® is the first-to-market online database of license and service agreements, serving transfer pricing, finance, and intellectual property professionals for over 21 years. The royalty rates database is recognized for its high-quality data, royalty rate analytics tools, and knowledge-based customer support, and is used by top accounting and law firms, Fortune 500 multinationals and tax authorities worldwide.","Financial, Intellectual Property, Legal, Technology","Royalty rates, Licensing agreements, Intellectual property valuation, Patent data, Trademark data, Licensing fees, Royalty negotiations, IP assets, Technology royalties, IP licensing",,https://www.royaltystat.com/subscriptions/,Subscription Service,Global,Both - most common,Subscription,"CSV, Excel",Service Provider,Intellectual Property Data,,,Karina
6/8/2024 21:49:31,https://drive.google.com/open?id=1q1-XYhCg0tDL06xKaubzMpbwZFt6oozl,https://www.libra.com/,,Libra,50,"Libra Group is a privately owned, global business group that includes 20 businesses predominately focused on aerospace, renewable energy, maritime, real estate, hospitality, and diversified investments. With subsidiaries that own and operate assets in nearly 60 countries, the Group applies the strength of its global network and capabilities to deliver cross-sector insights and growth at scale.","Cyber Security, Energy, Financial, Technology, Transportation, Blockchain, Aerospace, Hotels and Hospitality","Blockchain data, Cryptocurrency transactions, Transaction analysis, Market trends, Blockchain analytics, Cryptoassets, Digital currencies, Security measures, Compliance solutions, Distributed ledge",,https://www.libra.com/,Subscription Service,Global,Both - most common,Subscription,"API, CSV, JSON",Service Provider,Blockchain,,,Karina
6/9/2024 14:51:12,https://drive.google.com/open?id=1pfsIbiMT8Z4TXhADNosk3N3U8o7_vwiT,https://elysiumanalytics.ai/,,Elysium Analytics,20,"Elysium Analytics specializes in providing cyber security data solutions, offering advanced threat intelligence and analytics. Their datasets enable organizations to detect and mitigate cyber threats effectively, enhancing security posture and reducing the risk of cyber attacks.","Cyber Security, Technology, Data Analytics","Cyber security, Threat intelligence, Security analytics, Cyber threats, Incident detection, Malware analysis, Network security, Data protection, Cyber defense, Security operations",,https://elysiumanalytics.ai/,Subscription Service,Global,Both - most common,Subscription,"CSV, JSON",Service Provider,Cyber Security ,,,Karina
6/9/2024 14:56:30,https://drive.google.com/open?id=1I28TJ_UcT5K0GwdEIvuQ81w6R39qUdtq,https://elysiumanalytics.ai/,,Shaleforce,100,"ShaleForce provides comprehensive data solutions for the energy industry, focusing on shale and other unconventional resources. Their datasets include geospatial and environmental data, enabling organizations to make informed decisions related to exploration and production.","Energy, Environmental, Geospatial, Business","Energy data, Shale resources, Unconventional resources, Geospatial data, Environmental data, Exploration, Production, Energy analytics, Resource management, Energy industry",,https://www.shaleforce.com/data-portal,Subscription Service,Global,Both - most common,Subscription,"CSV, JSON, Excel; Shapefiles (SHP)",Service Provider,Energy and Environmental Data,,you can get a 14 day free trial,Karina
6/9/2024 15:05:57,https://drive.google.com/open?id=1_IVPDHKMytZRTIsfL1V5Gfaf3Ryhnjbn,https://theproptechcloud.com/,,The Proptech Cloud,53,"The Proptech Cloud is a growing community sharing insights, trends and advancements in the world of data powering real estate. The Proptech Cloud comprises an online hub centralising educational property content, relevant data sets and data apps. This one-stop hub allows proptechs to access property and real estate information, data and apps. We also play an active role in the dynamic proptech space by participating in events, contributing to the evolving dialogue, offering training, fueling innovation in property and supporting the community to thrive.","Energy, Environmental, Financial, Geospatial, Technology, Weather, Transportation, Economy; Lookup Tables; Demographics; Real Estate","Real estate, Property trends, Market dynamics, Investment, economy, weather, energy, transportation, location",,https://theproptechcloud.com/data-listings/data-library/,Fixed (typical),"North America, South America, Europe, Asia, Australia",Both - most common,"Free, Subscription","CSV, JSON, Excel",Service Provider,,,,Karina
6/10/2024 9:51:01,https://drive.google.com/open?id=1aBy1Krv32aJaydxQEAcne96pOUf2dukM,https://www.icpsr.umich.edu/web/pages/NADAC/index.html,,National Archive of Data on Arts & Culture (NADAC),181,"The National Archive of Data on Arts and Culture (NADAC) is a repository that facilitates research on arts and culture by acquiring data, particularly those funded by federal agencies and other organizations, and sharing those data with researchers, policymakers, people in the arts and culture field, and the general public.","Census Data, Consumer, Energy, Healthcare, Media and Entertainment, Social Media, Technology, Transportation, University, Art and humanities, culture, employment, economic",,https://creativecommons.org/licenses/by-nc/3.0/us/,https://www.icpsr.umich.edu/web/NADAC/search/studies,Fixed (typical),"North America, Europe",Both - most common,Free,"Delimited, R, SAS, SPSS, Stata, Online analysis.",Entertainment,Art and humanities,https://www.icpsr.umich.edu/web/pages/NADAC/index.html,,Caitlin
6/10/2024 9:58:09,https://drive.google.com/open?id=1RcSpFzuwqeXpcvRs2iaQaxjWN6PqpmkA,https://theatreowners.org/,,National Assocation of Theatre Owners,50,"The National Association of Theatre Owners is the largest exhibition trade organization in the world, representing over 35,000 movie screens in all 50 states, and additional cinemas in 101 countries worldwide. Headquartered in Washington, D.C., with a second office in Los Angeles, California, NATO represents its members in the heart of the nation’s capital as well as the center of the entertainment industry. From these vantage points, NATO helps exhibition influence federal policy-making and work with movie distributors on all areas of mutual concern, from new technologies to legislation, marketing, and First Amendment issues.","Media and Entertainment, Art and humanities",,unknown,https://theatreowners.org/state-of-the-industry/,Unknown,Unknown,Both - most common,,Unknown,Entertainment,Art and humanities,https://theatreowners.org/,"The data page is not accessible, so I can't get any information about data on this site.",Caitlin
6/10/2024 10:22:10,https://drive.google.com/open?id=1eZQNIssmaJA4soS413MR2jWWoAYtYeum,https://www.arts.gov/,,National Endowment for the Arts (Data),198,"The National Endowment for the Arts (NEA), established in Congress in 1965, is an independent federal agency that is the largest funder of the arts and arts education in communities nationwide and a catalyst of public and private support for the arts. By advancing equitable opportunities for arts participation and practice, the NEA fosters and sustains an environment in which the arts benefit everyone in the United States.","Census Data, Consumer, Energy, Farming, Healthcare, Media and Entertainment, Technology, Transportation, University, art and humanities, economic, labor, international trade",art and humanities,https://creativecommons.org/licenses/by-nc/3.0/us/,https://www.arts.gov/grants/research-awards/nea-research-labs/publicly-available-data-sources,Fixed (typical),"North America, Europe",Both - most common,Free,"Delimited, R, SAS, SPSS, Stat, Online Analysis.",Entertainment,Art and humanities,https://www.arts.gov/,"National Endowment for the Arts doesn't have a clear number of dataset, but they use NADAC database (181 data) and 17 dataset from other data sources.",Caitlin
6/10/2024 10:51:58,https://drive.google.com/open?id=1DoAoJfox3oOiRxgLEdQDSB_hUy5zRTWM,https://www.re3data.org/,,Registry of Research Data Repositories,3000,"Re3data is a global registry of research data repositories that covers research data repositories from different academic disciplines. It includes repositories that enable permanent storage of and access to data sets to researchers, funding bodies, publishers, and scholarly institutions. re3data promotes a culture of sharing, increased access and better visibility of research data. The registry has gone live in autumn 2012 and has been funded by the German Research Foundation (DFG).","Climate, Education, Energy, Environmental, Farming, Food Supply, Geospatial, Healthcare, Life Science, Manufacturing, Social Media, Technology, Water, Weather, Transportation, University, Engineering science, Natural science, Humanities and social science.","Engineering science, Natural science, Humanities and social science, life science",https://creativecommons.org/licenses/by/4.0/,https://www.re3data.org/search,Fixed (typical),Global,Both - most common,Free,"Text, Archived data, Audiovisual data, Configuration data, images, Raw data, Scientific and statistical data, graphics, databases.",Research,data,https://www.re3data.org/,,Caitlin
6/10/2024 11:08:47,https://drive.google.com/open?id=1RJzgiyQBVI2zWqrX2xDu1YZvRlS-Ry5r,https://www.arts.gov/,,National Endowment for the Arts (Research Reports),408,"Research into the value and impact of the arts is a core function of the National Endowment for the Arts. Through accurate, relevant, and timely analyses and reports, the Arts Endowment elucidates the factors, conditions, and characteristics of the U.S. arts ecosystem and the impact of the arts on other domains of American life.","Media and Entertainment, Art and humanities",Art and humanities,https://creativecommons.org/licenses/by-nc/3.0/us/,https://www.arts.gov/impact/research/publications,Fixed (typical),"North America, United States",Both - most common,Free,"PDF, Text",Entertainment,Art and humanities,https://www.arts.gov/,,Caitlin
6/10/2024 12:31:04,https://drive.google.com/open?id=1uIh8QVJWU0ZDvS32C157naxz2Ac-sOAA,https://www.adaptive-shield.com/,,Adaptive Shield,1,"Proactively find and fix weaknesses across your SaaS platforms, and maintain continuous security for all global settings and user privileges. Securing the enterprise data and users across SaaS systems, Snowflake included, in a streamlined and consistent way is becoming ever challenging.","Cyber Security, Financial, Healthcare, Media and Entertainment, Retail and CPG, Technology",Adaptive Shield SaaS Security Posture Management Sample Data,,,Custom Built,"Global, Asia",Both - most common,Subscription,"JSON, SQL",Service Provider,Cloud Security and Data Management,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAEAAAABACAYAAACqaXHeAAAACXBIWXMAAFxGAABcRgEUlENBAAALYElEQVR4nO1bXYwcRxGe3a26s0McIyKIEH+x8iMe4AEQD0AgAomgIBIQJIgIXiIRIQIPEIEgAvEn8gAvgIQACRDK30sgQiLBsWLnzrfdPbe7t9M9c//nnzgYGyElRCgxsWPf3aKq7p6ZvZvdu9udsx3pSlrN3O1Ud/U39ddVvUGwQzu0Qzu0QyXR5KEAjeBb0PUAdZ2vENHV/h/pGk6s5w3zvMLy5T5EI0YE1anDwWVDtUgGGEu+ByMDpE+sKhirGhpZA7rGqsqfmckKPYfTk0GwOLl+sEYrwNmGHWu2GaR8biy+0thG8lw81mwjgMiCdvFobH+ASWgFiEMSpgIkoJG1jVg9X99nHAh9nzGiSnPS3BirIAV2bH+wbQSxCjCyqoiRoLddhahe7RJsKaphEu6DWH0cjLwHjfwhGPkL0OIRiNWt/EysqkG74K2FE/Y7O9f7wIiHwchfgZE/ASPvhVh9EpPwRpxtjnTJ1Z6osobkTMyDUs7CjUhVDuKQFl6D9gSrM0+YhG8EIz8PRv4etZhBLc7gTKODR0wHl6IOLrQ7+NLpDiTqRw4ACJzZdAMgaSzWIkjCu/DFkx1c0h1cjOxYc80OanEWtTgCRj4CRt6NsXpbfghnKv4+AFMCEOgXT3YZ5RZu5M1o5IOgxfO8yKNOyFh1MKqvYFQ/j3MtEnoVjDwIsXqPBUBWgpbVpC5qWf9hAVDvACP/DFqcw/kpGu8CRvVlNLKDswSuZnBBi5fQiL+ikbftXn3FyqWeSjXAyz48CEkYQOOQBcLIj6IRYzgzaQVJQhJwmYQELZZRixXUokPfgxFPgpEfzIFW2XAuB4Kb611g5IO8cPposQL0sYBcYLBJywgkLSIw8o7cXCUt3kgKS2ybaOT3rVpPdcC+ZVo0LXgVtFjlK/2fwDHy3nQMLSrgFsZvp8hzN0TqJOlZ8jE5GW5DLS4wsPm56Eoy0AsgbTuWdMgUeYx2vRwQgJxfc8yqppENVnctXiUBWKCovurvWaBY0vVlmG2+xfEDtCey+E72/9hj6ydaXWVf42M+hAeJ1/qEfx8HMPI4+RYHOAPh5rb3WpzH6Un6/jQstke97MMDYGQw8syT/r6B8y2ahFTev4mO/7BwSUhv4XlYaL+VeeZaHLtrW4jXtak6awrMT9l5Ty/tAiNnyMc4M8vPyUDw3NM0tzgFs409DoANTW5D8uFlJGlSqJlxjq1LiC4A/FuI1dXER7E6GJB89AmOz1RAiymydQdAF/Duw+CjFi+gUW+ysg8+d0o+hQUjd4EWR3C2mVfD9QBYNT0BWlzJfC53GISId3TOZYda1Mn82N4LAOC5Y8WRAbTg8AhalAhArK4EI59bY4frhSCAjDxSS9Ronn9QAHzkACOfwcW+AKxSpAAtXgEjr3M8JZhAZFFEo/aikSfZw/cAgE2DcgEj50YXjY0cQ+Tq2K6T0/QRaD9HIAp/xSbAAKCR5zBWNzqeUgG4ygLQ2BQAu+aj4QGYGgiAs+UCoD0A8vVo5KnNakApAFxmGrB3KyZwCQE4e4lNoMUA7F6KhwZgpNsE/u4BgIuqAToFYA8a+Y9+AOSiwBIkiretPrMbOAr4DZKRB2lnCBsDQBpwQ2kAQJYH7AYtjm0yD3gWjHhdGQCMTqd5wMQGecCqywNeBiPf7njKzAQnAbWYdfvyjTLBUxCrN5SVCVZOL9FiWj4ThP6Z4H/QyGuc7JVy9gIHn/D3WToa1YsB8HuBxfabmWeuOTgA8y17feEEgpHTRXuBdeAb8S+YmbyK+aj2MDQAsQywNe7tcJzVsEc+nsvGzsD05PXMk4SDA+B4YX5qDxjxbJ8s1G6G7PfHYbE9UtpuEGlXNnXYe+K/sCe2e/NCRwSkGUZQZei9jqc6+Nz2DWISXoNavMgFkI0ikBbt0U4nlX1oAiqFOQAgVr+lKhBo0dMTc0HElsY+5oQYGAC/nYVEXc81CAK2h+axVtJewcgDPO+Bxysk+/AAaKqy2pI3GPkDPBZzKOqjAcusJUbexYJQEXWAXIDnddqDRn6AfUuu+FIw7wWqS4KRDzFPTFXrEnoGSF0dX5mJ1Ze5+NkjFgNdSZAjLMi3HWgb9gt6guB4wcjPuuJoYQRwRZHz/HKM/JnjAV/GH4oqhrekXpBb2dGQmvd7E2QmRv6GAdSiRuX0LS8+mcwAiNV9XIDtDXxe877G8xpZq5QBABEYG0/ByHdaW+QK7Xp1pNIUAUAlayOf8tkYFSi3SlRHpHaYm/fXmzC9FXKCYOQtjmdg39NFtcTW54hwtknp8CmKt1yizoqS+bex7LLFBZgOdxEfFzu38Da4mWrDr/1bi6dzxZCiCLDqHOSrmIQ2DY5VpRaXoQHj47bx2Rqzwhg5lktJ1wvic3KqzCThvrTMvYWUmLvKviEz07gCtXgu3YWuAd1FgBVqmIARRyEJr3ByVkj2Ughsjd2r4y/Z2/axR/TqGKtPDeIIq3GDQLOhNwnfTWE3HXst6N1m90TaPHWl+NIIUockv8C9gR4eOR+S0MgHrECyhu2JoNreXG+f2+xuPqQe4JLuZ//5yPM9llGLWrmL19wgtY4wVvtAi/+5lLcwLrN5kJkYySsmW2Yz2mRmBs1xih5WA4z8E0cVC0BRCmw1jvcB8iOOp5wcwBMNRrtCiKxaobElako/1zlC3zCxHaIzEKtreQyKBpuoEIPODkCQPdPWOt0DrLN//jsrxSeh24KL7Tk4gZlafsv7gbW2CbmeHcduI7/qAHCt794HIPx3/lk08hZOq6P6ylpt83PmzO13zKPpsMY2LB5imc/Nu82gVzhcmCLB6qkZUHjrc0qEvoPmYdIwD8BDPdU/WqP+sbLqzylwSQlQniitrEUTqW2ikQ/77CwXAr0P8MKt2n6d/HBXcqILfEFDBdg+nPc111J1x1V5yLEWOUAGGbRgm8HGIZtzJCWeEMnTKGmBWwQY+X6O926xawTM1NOGp8eJB6cOV4DO8vSiE8c4dXbj/zxvZmsBdt1hvwO80/FYzdkODSCy7WtJiYrXgkfzKgoFQvI1UR2M5c2OpxpEBW+oqbI2WKyuQzr9Yd9+V8aZ2j7lBmxiggfDvz3qIk1JByOKKPXOXgtidQP14pwvyPr2uaww3abG6jvZGaECAJQKMHG5fxJ+Lt8HzAHLgKa2T97fSFt3yBK1YFsJs/M3fsL73UblfJf9r90dxuqbjr8WJAVCyq5DUrfzOYRs15lpk53jPB7lre8feEzyS/JAuafDelGtNRGMzrfYFDyBFsLV7BmE/MmNHAD3pQD01IAUgE9z8bW7BJ6pvt1snYBY7uXnnenUipzrdhBkvQLrC2K1D7X4ryuJL6/xAesBKNKAPgDk7N6aGdUGjbzJyVAbtg2/Zcpna7nk6BMU8pw/8DvFUgDwi2eTsEWPr/BYWcTo0siLQkD5ulNl0Kk/uJtsN02EfCgcXgMoDV52Nb8f8zNRvUrxfvexeKhTKOVEhekw/zbuYRCsJlwYEoAVfyDLLf6naT5R9mHIgajTyU6SJioFAY38IpsAOauofnZzAMgiAM5xu8sC+l36bqQ1np05pLldD+CSEUQTubPEnMx4TfgQanGS4jnH9Fh9YwtR4HbuQlOiQ4ee3AlQOvWVpspbLLNtO4EHwQICfJ+oq4H2DP9cIADuTxOhjfOAO/DkPJnQ05QVuvFrdHA7P9dlR5ALRfkyGBr5JUjUZ/ieSl1FGtDko7K+DHYTGvn1/Fj4xweyhsnF9vibpk7HhkiXj3NJPNeh5R81EOmCLXFn3j4z193OyjZfio/uX3Kb3yylP2CwZ/2qOGvb5DjTuyCCC/ZoLC602Vf44zVcIxzioMUlI3ALoGv6oylyXEUmkPtFCj+f3r8GF75DO7RDOxS8Ruj/0pM8DIbfZ2UAAAAASUVORK5CYII=",,Sam
6/10/2024 12:33:37,https://drive.google.com/open?id=1UhMORq9XhDGGgQXrBjWMQqRUMm0N-d-W,https://tokenflow.live/,,Token Flow ,1000,Data powered solutions to unlock the true potential of blockchain,"Cyber Security, Financial, Private Business, Public Data, Technology",,,https://tokenflow.live/products/data-platform/,"Subscription Service, Custom Built",,Both - most common,Subscription,API,Financial,Blockchain ,https://tokenflow.live/wp-content/uploads/2023/06/TFI_LOGO_350x100.png,"Need to sign up, but can access some data for free with an account ",Sedonna
6/10/2024 12:38:03,https://drive.google.com/open?id=1Vy8Gvxu9659bdWUj8h7t9X_A_PLL4HSD,https://www.outreach.io/,,Outreach ,300,Outreach is a single platform that unlocks seller productivity to help sales teams efficiently create and close more pipeline.,"Advertising, Technology",,,,,Global,Current Data,Subscription,,Service Provider,Sales ,https://www.outreach.io/_next/image?url=https%3A%2F%2Fcdn-mktg.outreach.io%2Fassets%2Fdefault%2Foutreach_logo_mobile_v2.svg&w=96&q=75,No datasets,Sedonna
6/10/2024 12:42:26,https://drive.google.com/open?id=1AAxgErTXzCwguVjeKrO4I7Gi-VGpTI2_,https://tuvahealth.com/,,Tuva Health ,500,The healthcare data transformation company,"Healthcare, Technology",,,,Custom Built,Global,Current Data,Subscription,,Health,Healthcare data,https://3nabc1.p3cdn1.secureserver.net/wp-content/uploads/2023/08/TuvaHealth-Logo-100h.png,No datasets,Sedonna
